"player","score of PapadopoulosReimplementation","score of AbaProReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"AbaProReimplementation","4","2","2182","76707","66602","-200","4","0","0","0","0","36","18","13","7"
"PapadopoulosReimplementation","4","2","3492","110614","91702","1812","4","0","0","0","0","43","12","34","5"
"AbaProReimplementation","4","2","3590","121961","106455","-202","4","0","0","0","0","38","18","21","7"
"PapadopoulosReimplementation","4","2","2307","75955","65080","1816","4","0","0","0","0","40","8","32","6"
"AbaProReimplementation","4","2","1199","33816","28560","-202","4","0","0","0","0","34","10","13","5"
"PapadopoulosReimplementation","4","2","1069","32571","26025","1906","4","0","0","0","0","36","6","25","4"
"AbaProReimplementation","4","2","687","25014","21836","-204","4","0","0","0","0","26","12","8","7"
"PapadopoulosReimplementation","4","2","740","18600","13007","1882","4","0","0","0","0","39","4","29","2"
"AbaProReimplementation","4","2","586","19938","17029","-205","4","0","0","0","0","25","11","9","6"
"PapadopoulosReimplementation","4","2","1838","68683","58339","1946","4","0","0","0","0","37","8","31","5"
"AbaProReimplementation","4","2","689","30235","26570","-204","4","0","0","0","0","24","16","8","8"
"PapadopoulosReimplementation","4","2","3983","171435","151723","1942","4","0","0","0","0","44","15","27","7"
"AbaProReimplementation","4","2","1009","25815","20996","-203","4","0","0","0","0","27","9","18","4"
"PapadopoulosReimplementation","4","2","4825","212867","192615","1978","4","0","0","0","0","36","18","28","9"
"AbaProReimplementation","4","2","1083","32989","28007","-205","4","0","0","0","0","24","12","15","6"
"PapadopoulosReimplementation","4","2","3513","155359","141001","1946","4","0","0","0","0","41","10","32","10"
"AbaProReimplementation","4","2","612","20171","17042","-204","4","0","0","0","0","25","11","10","6"
"PapadopoulosReimplementation","4","2","2545","106797","96309","1948","4","0","0","0","0","39","8","29","9"
"AbaProReimplementation","4","2","1004","37167","32271","-200","4","0","0","0","0","27","16","10","7"
"PapadopoulosReimplementation","4","2","2451","99436","87653","1980","4","0","0","0","0","33","12","26","7"
"AbaProReimplementation","4","2","1942","82261","72934","-196","4","0","0","0","0","32","19","13","8"
"PapadopoulosReimplementation","4","2","1510","58850","51712","2036","4","0","0","0","0","22","16","18","7"
"AbaProReimplementation","4","2","922","29708","24901","-195","4","0","0","0","0","29","11","13","5"
"PapadopoulosReimplementation","4","2","1889","66872","57334","2024","4","0","0","0","0","22","17","23","6"
"AbaProReimplementation","4","2","1500","44062","36263","-196","4","0","0","0","0","26","20","13","5"
"PapadopoulosReimplementation","4","2","2328","83461","73118","2012","4","0","0","0","0","23","18","23","7"
"AbaProReimplementation","4","2","2197","59732","48694","-196","4","0","0","0","0","28","18","20","4"
"PapadopoulosReimplementation","4","2","1366","46284","40302","2016","4","0","0","0","0","17","16","20","7"
"AbaProReimplementation","4","2","1246","32311","25988","-199","4","0","0","0","0","24","14","16","4"
"PapadopoulosReimplementation","4","2","990","32747","28432","1986","4","0","0","0","0","24","13","12","7"
"AbaProReimplementation","4","2","481","11900","9158","-199","4","0","0","0","0","25","6","16","3"
"PapadopoulosReimplementation","4","2","476","18525","16686","1976","4","0","0","0","0","23","3","18","9"
"AbaProReimplementation","4","2","545","15965","13156","-199","4","0","0","0","0","21","7","16","5"
"PapadopoulosReimplementation","4","2","882","30715","26582","2010","4","0","0","0","0","22","10","17","6"
"AbaProReimplementation","4","2","585","15336","12264","-198","4","0","0","0","0","23","7","16","4"
