"player","score of ConsiderSelfOnly","score of CondiserEnemyPosition","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"ConsiderSelfOnly","0","0","34534","331073","241363","48","4","0","0","0","0","73","29","40","2"
"CondiserEnemyPosition","0","0","10735","220475","202797","-66","4","0","0","0","0","77","4","54","11"
"ConsiderSelfOnly","0","0","4146","48230","37573","34","4","0","0","0","0","70","5","28","3"
"CondiserEnemyPosition","0","0","82395","1515597","1366521","-46","4","0","0","0","0","72","33","61","9"
"ConsiderSelfOnly","0","0","53657","630801","482586","40","4","0","0","0","0","73","45","43","3"
"CondiserEnemyPosition","0","0","5690","76641","63139","-38","4","0","0","0","0","76","3","44","4"
"ConsiderSelfOnly","0","0","4803","60092","47738","12","4","0","0","0","0","72","6","23","4"
"CondiserEnemyPosition","0","0","18732","351290","316863","14","4","0","0","0","0","68","10","46","9"
"ConsiderSelfOnly","0","0","13234","138126","105006","10","4","0","0","0","0","77","11","34","3"
"CondiserEnemyPosition","0","0","82321","1388031","1226696","52","4","0","0","0","0","77","36","56","7"
"ConsiderSelfOnly","0","0","13527","134667","99058","-4","4","0","0","0","0","79","9","45","2"
"CondiserEnemyPosition","0","0","10277","192011","172926","36","4","0","0","0","0","71","6","42","9"
"ConsiderSelfOnly","0","0","20227","199952","149014","-12","4","0","0","0","0","70","17","41","3"
"CondiserEnemyPosition","0","0","68145","1113974","965955","112","4","0","0","0","0","79","34","53","6"
"ConsiderSelfOnly","0","0","2678","32581","26608","-78","4","0","0","0","0","66","3","24","4"
"CondiserEnemyPosition","0","0","111250","1629580","1397803","98","4","0","0","0","0","81","43","65","6"
"ConsiderSelfOnly","0","0","4938","52740","40689","-36","4","0","0","0","0","68","5","30","3"
"CondiserEnemyPosition","0","0","81943","1071746","890804","78","4","0","0","0","0","83","31","67","4"
