"player","score of AbaProReimplementation","score of PapadopoulosReimplementation","time spent","nodes visited","leaf nodes","rating of game state","depth","exact cuts","window cuts","windows narrowed","transposition table size","branching factor at depth 1","branching factor at depth 2","branching factor at depth 3","branching factor at depth 4"
"PapadopoulosReimplementation","4","4","1638","50446","39915","210","4","0","0","0","0","32","15","19","3"
"AbaProReimplementation","4","4","435","10233","7357","-8","4","0","0","0","0","44","1","32","2"
"PapadopoulosReimplementation","4","4","1964","70652","56165","210","4","0","0","0","0","30","19","23","4"
"AbaProReimplementation","4","4","624","23142","18627","-4","4","0","0","0","0","38","6","16","4"
"PapadopoulosReimplementation","4","4","613","19709","14991","160","4","0","0","0","0","34","5","23","3"
"AbaProReimplementation","4","4","491","13596","10401","-5","4","0","0","0","0","38","2","32","3"
"PapadopoulosReimplementation","4","4","2149","74308","59669","210","4","0","0","0","0","30","18","25","4"
"AbaProReimplementation","4","4","2372","80273","65569","-4","4","0","0","0","0","37","13","29","4"
"PapadopoulosReimplementation","4","4","2271","73247","56854","216","4","0","0","0","0","28","22","24","3"
"AbaProReimplementation","4","4","2285","75488","60588","-4","4","0","0","0","0","35","14","28","4"
"PapadopoulosReimplementation","4","4","1129","37932","30065","210","4","0","0","0","0","29","11","22","4"
"AbaProReimplementation","4","4","637","31546","27152","-3","4","0","0","0","0","35","14","7","7"
"PapadopoulosReimplementation","4","4","749","24220","19247","154","4","0","0","0","0","35","6","20","4"
"AbaProReimplementation","4","4","531","15425","11995","-4","4","0","0","0","0","35","3","25","3"
"PapadopoulosReimplementation","4","4","1958","67825","54269","210","4","0","0","0","0","29","18","24","4"
"AbaProReimplementation","4","4","1996","68834","56634","-4","4","0","0","0","0","35","11","28","4"
"PapadopoulosReimplementation","4","4","805","27843","22095","216","4","0","0","0","0","27","10","18","4"
"AbaProReimplementation","4","4","321","12927","10777","-3","4","0","0","0","0","33","5","10","5"
"PapadopoulosReimplementation","4","4","1105","36028","28272","160","4","0","0","0","0","33","9","22","3"
"AbaProReimplementation","4","4","1611","55913","46095","-4","4","0","0","0","0","33","10","26","4"
"PapadopoulosReimplementation","4","4","2846","93769","74901","210","4","0","0","0","0","28","25","25","4"
"AbaProReimplementation","4","4","1500","50023","40449","-3","4","0","0","0","0","40","9","23","4"
"PapadopoulosReimplementation","4","4","1704","61041","49523","182","4","0","0","0","0","32","13","25","4"
"AbaProReimplementation","4","4","490","13964","10572","-4","4","0","0","0","0","41","3","25","3"
"PapadopoulosReimplementation","4","4","2643","90383","73147","174","4","0","0","0","0","33","17","28","4"
"AbaProReimplementation","4","4","1873","67832","56182","-3","4","0","0","0","0","36","10","29","5"
"PapadopoulosReimplementation","4","4","3037","104635","84782","180","4","0","0","0","0","32","20","29","4"
"AbaProReimplementation","4","4","765","35857","30871","-2","4","0","0","0","0","34","15","8","6"
"PapadopoulosReimplementation","4","4","2828","92000","72919","142","4","0","0","0","0","36","21","23","3"
"AbaProReimplementation","4","4","984","32042","25315","-2","4","0","0","0","0","39","6","25","3"
"PapadopoulosReimplementation","4","4","777","26448","21256","152","4","0","0","0","0","32","6","24","4"
"AbaProReimplementation","4","4","245","7375","5643","-4","4","0","0","0","0","34","2","23","3"
"PapadopoulosReimplementation","4","4","2040","67532","54059","138","4","0","0","0","0","32","20","19","4"
"AbaProReimplementation","4","4","1891","81466","68945","-2","4","0","0","0","0","33","14","25","5"
"PapadopoulosReimplementation","4","4","1899","55387","42482","128","4","0","0","0","0","30","14","27","3"
"AbaProReimplementation","4","4","664","22300","17277","-2","4","0","0","0","0","33","6","21","3"
"PapadopoulosReimplementation","4","4","704","19395","14472","110","4","0","0","0","0","30","5","27","3"
"AbaProReimplementation","4","4","878","34665","28655","-3","4","0","0","0","0","35","6","23","4"
"PapadopoulosReimplementation","4","4","1038","29773","23299","102","4","0","0","0","0","31","7","25","3"
"AbaProReimplementation","4","4","778","25255","19575","-2","4","0","0","0","0","33","7","20","3"
"PapadopoulosReimplementation","4","4","2655","82902","66619","108","4","0","0","0","0","34","16","27","4"
"AbaProReimplementation","4","4","1753","75847","61559","-1","4","0","0","0","0","35","20","18","4"
"PapadopoulosReimplementation","4","4","1150","34793","27096","66","4","0","0","0","0","34","8","24","3"
"AbaProReimplementation","4","4","1082","42743","34701","-2","4","0","0","0","0","32","9","25","4"
"PapadopoulosReimplementation","4","4","1634","50927","39925","124","4","0","0","0","0","28","15","24","3"
"AbaProReimplementation","4","4","685","35497","29991","-1","4","0","0","0","0","28","14","12","5"
"PapadopoulosReimplementation","4","4","1017","33148","26163","96","4","0","0","0","0","33","8","23","3"
"AbaProReimplementation","4","4","633","25808","21631","-3","4","0","0","0","0","31","7","16","5"
"PapadopoulosReimplementation","4","4","2013","67054","54878","132","4","0","0","0","0","30","16","24","4"
"AbaProReimplementation","4","4","714","26930","21701","-2","4","0","0","0","0","37","8","15","4"
